idx,A000001,A000002,A000003,A000004,A000005,A000006,A000007,A000008,A000009,A000010,A000011,A000012,A000013,A000014,A000015 
49,2.0,2.0,6.0,0.0,6.0,15.0,0.0,320.0,3264.0,20.0,NaN,1.0,NaN,NaN,53.0
50,5.0,1.0,6.0,0.0,4.0,15.0,0.0,341.0,3658.0,32.0,NaN,1.0,NaN,NaN,53.0
51,1.0,1.0,4.0,0.0,6.0,15.0,0.0,356.0,4097.0,24.0,NaN,1.0,NaN,NaN,53.0
52,5.0,2.0,6.0,0.0,2.0,15.0,0.0,377.0,4582.0,52.0,NaN,1.0,NaN,NaN,53.0
53,1.0,2.0,6.0,0.0,8.0,15.0,0.0,392.0,5120.0,18.0,NaN,1.0,NaN,NaN,59.0
54,15.0,1.0,4.0,0.0,4.0,16.0,0.0,413.0,5718.0,40.0,NaN,1.0,NaN,NaN,59.0
55,2.0,2.0,8.0,0.0,8.0,16.0,0.0,434.0,6378.0,24.0,NaN,1.0,NaN,NaN,59.0
56,13.0,2.0,4.0,0.0,4.0,16.0,0.0,455.0,NaN,36.0,NaN,1.0,NaN,NaN,59.0
57,2.0,1.0,2.0,0.0,4.0,16.0,0.0,476.0,NaN,28.0,NaN,1.0,NaN,NaN,59.0
58,2.0,1.0,9.0,0.0,2.0,16.0,0.0,497.0,NaN,58.0,NaN,1.0,NaN,NaN,59.0
59,1.0,2.0,4.0,0.0,12.0,16.0,0.0,518.0,NaN,16.0,NaN,1.0,NaN,NaN,61.0
60,13.0,1.0,6.0,0.0,2.0,16.0,0.0,546.0,NaN,60.0,NaN,1.0,NaN,NaN,61.0
61,1.0,2.0,8.0,0.0,4.0,17.0,0.0,NaN,NaN,30.0,NaN,1.0,NaN,NaN,64.0
62,2.0,2.0,4.0,0.0,6.0,17.0,0.0,NaN,NaN,36.0,NaN,1.0,NaN,NaN,64.0
63,4.0,1.0,4.0,0.0,7.0,17.0,0.0,NaN,NaN,32.0,NaN,1.0,NaN,NaN,64.0
64,267.0,2.0,8.0,0.0,4.0,17.0,0.0,NaN,NaN,48.0,NaN,1.0,NaN,NaN,67.0
65,1.0,2.0,8.0,0.0,8.0,17.0,0.0,NaN,NaN,20.0,NaN,1.0,NaN,NaN,67.0
66,4.0,1.0,3.0,0.0,2.0,18.0,0.0,NaN,NaN,66.0,NaN,1.0,NaN,NaN,67.0
67,1.0,1.0,8.0,0.0,6.0,18.0,0.0,NaN,NaN,32.0,NaN,1.0,NaN,NaN,71.0
68,5.0,2.0,8.0,0.0,4.0,18.0,0.0,NaN,NaN,44.0,NaN,1.0,NaN,NaN,71.0
69,1.0,1.0,4.0,0.0,8.0,18.0,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,71.0
70,4.0,1.0,7.0,0.0,2.0,18.0,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,71.0
71,1.0,2.0,4.0,0.0,12.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,73.0
72,50.0,1.0,4.0,0.0,2.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
73,1.0,2.0,10.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
74,2.0,2.0,6.0,0.0,6.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
75,3.0,1.0,6.0,0.0,6.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
76,4.0,2.0,8.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
77,1.0,1.0,4.0,0.0,8.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
78,6.0,1.0,5.0,0.0,2.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
79,1.0,2.0,8.0,0.0,10.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
80,52.0,2.0,6.0,0.0,5.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
81,15.0,1.0,4.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
82,2.0,2.0,9.0,0.0,2.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
83,1.0,2.0,8.0,0.0,12.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
84,15.0,1.0,4.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
85,1.0,1.0,10.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
86,2.0,2.0,6.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
87,1.0,1.0,4.0,0.0,8.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
88,12.0,2.0,12.0,0.0,2.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
89,1.0,2.0,8.0,0.0,12.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
90,10.0,1.0,6.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,1.0,2.0,6.0,0.0,6.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,4.0,2.0,4.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,2.0,1.0,8.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,NaN,1.0,8.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,2.0,8.0,0.0,12.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,NaN,1.0,4.0,0.0,2.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,NaN,1.0,8.0,0.0,6.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98,NaN,2.0,6.0,0.0,6.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99,NaN,2.0,4.0,0.0,9.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,1.0,NaN,0.0,2.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,NaN,2.0,NaN,0.0,8.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102,NaN,1.0,NaN,NaN,2.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103,NaN,1.0,NaN,NaN,8.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104,NaN,2.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106,NaN,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107,NaN,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
